country,country_code,continent,population,cases,deaths,credit_cards_requests,year_week,date
Mexico,MEX,America,128932753,82532,4499,33743,2021_36,03/09/2021
Mexico,MEX,America,128932753,57001,3796,41458,2021_37,10/09/2021
Mexico,MEX,America,128932753,62763,3911,40787,2021_38,17/09/2021
Mexico,MEX,America,128932753,48435,3430,43038,2021_39,24/09/2021
Mexico,MEX,America,128932753,41000,3121,46673,2021_40,01/10/2021
Mexico,MEX,America,128932753,33227,2250,58330,2021_41,08/10/2021
Mexico,MEX,America,128932753,9289,870,80709,2021_42,15/10/2021
Mexico,MEX,America,128932753,40447,3117,47311,2021_43,22/10/2021
Mexico,MEX,America,128932753,18581,1270,72596,2021_44,29/10/2021
Mexico,MEX,America,128932753,18947,1413,71357,2021_45,05/11/2021
Mexico,MEX,America,128932753,18545,1377,72866,2021_46,12/11/2021
Mexico,MEX,America,128932753,20288,1426,71269,2021_47,19/11/2021
Mexico,MEX,America,128932753,15727,1205,74739,2021_48,26/11/2021
Mexico,MEX,America,128932753,18694,1566,71853,2021_49,03/12/2021
Mexico,MEX,America,128932753,15115,1195,76336,2021_50,10/12/2021
