Pais,Continente,Diarios,Casos,Avg,Max,Std
Palestine,Asia,15390.00,466325.00,5014.00,16938.00,4996.00
Palestine,Asia,10316.00,466325.00,5014.00,16938.00,4996.00
Palestine,Asia,9680.00,466325.00,5014.00,16938.00,4996.00
Palestine,Asia,5906.00,466325.00,5014.00,16938.00,4996.00
Palestine,Asia,5266.00,466325.00,5014.00,16938.00,4996.00
Palestine,Asia,3731.00,466325.00,5014.00,16938.00,4996.00
Palestine,Asia,3973.00,466325.00,5014.00,16938.00,4996.00
Palestine,Asia,4446.00,466325.00,5014.00,16938.00,4996.00
Palestine,Asia,5903.00,466325.00,5014.00,16938.00,4996.00
Palestine,Asia,8506.00,466325.00,5014.00,16938.00,4996.00
